genus,lat,lon
GBIF,-22.33333,166.91667
GBIF,-22.17697,166.51064
GBIF,-21.57944,165.84278
GBIF,-21.18333,165.31667
GBIF,-22.17803,166.51133
GBIF,-22.15,166.68333
GBIF,-20.79889,165.23056
GBIF,-22.16806,166.89667
GBIF,-20.95367,165.28783
GBIF,-21.41667,165.46667
GBIF,-22.06667,166.35
GBIF,-21.61,165.81028
GBIF,-21.7525,166.00083
GBIF,-22.3875,166.92944
GBIF,-21.58333,165.8
GBIF,-21.75,166.15
GBIF,-22.1,166.66667
GBIF,-21.6,165.8
GBIF,-22.05,166.46667
GBIF,-22.05,166.46667
GBIF,-20.95,164.91472
GBIF,-22.19514,166.50164
GBIF,-22.34972,166.97083
GBIF,-22.28333,166.89611
GBIF,-22.34972,166.97083
GBIF,-22.34972,166.97083
GBIF,-22.34972,166.97083
GBIF,-22.34972,166.97083
GBIF,-21.58083,165.84333
GBIF,-22.38639,166.9175
GBIF,-22.1775,166.50889
GBIF,-21.6,165.8
GBIF,-21.58333,165.8
GBIF,-20.95,164.91472
GBIF,-22.19583,166.49861
GBIF,-22.19583,166.49861
GBIF,-22.19583,166.49861
GBIF,-21.58083,165.84333
GBIF,-22.34972,166.97083
GBIF,-22.19583,166.49861
GBIF,-22.34972,166.97083
GBIF,-22.19583,166.49861
GBIF,-21.5925,165.80528
GBIF,-22.26489,166.588126
GBIF,-22.257297,166.599851
GBIF,-22.257297,166.599851
GBIF,-22.257297,166.599851
GBIF,-22.26489,166.588126
GBIF,-22.257297,166.599851
GBIF,-20.916468,165.061758
GBIF,-21.617057,165.884023
GBIF,-22.27977,166.89454
GBIF,-22.32306,166.91528
GBIF,-21.61696,165.88393
GBIF,-22.32306,166.91528
GBIF,-22.325,166.925
GBIF,-22.32306,166.91528
GBIF,-22.28333,166.9
GBIF,-22.28333,166.88333
GBIF,-22.28333,166.88333
GBIF,-22.28333,166.88333
GBIF,-22.29167,166.89167
GBIF,-22.28333,166.9
GBIF,-20.91674,165.06189
GBIF,-22.28333,166.83333
GBIF,-22.27961,166.89456
GBIF,-22.25,166.81667
GBIF,-22.32292,166.91506
GBIF,-22.25,166.81667
GBIF,-22.28333,166.88333
GBIF,-22.25,166.81667
GBIF,-22.27961,166.89456
GBIF,-22.32389,166.91444
GBIF,-22.24714,166.82792
GBIF,-22.31667,166.91667
GBIF,-22.28333,166.89611
GBIF,-22.28333,166.9
GBIF,-21.62083,165.87778
GBIF,-22.34972,166.97083
GBIF,-22.27976,166.894463
