genus,lat,lon
Troglosiro,-22.33333,166.91667
Troglosiro,-22.17697,166.51064
Troglosiro,-21.57944,165.84278
Troglosiro,-21.18333,165.31667
Troglosiro,-22.17803,166.51133
Troglosiro,-22.15,166.68333
Troglosiro,-20.79889,165.23056
Troglosiro,-22.16806,166.89667
Troglosiro,-20.95367,165.28783
Troglosiro,-21.41667,165.46667
Troglosiro,-22.06667,166.35
Troglosiro,-21.61,165.81028
Troglosiro,-21.7525,166.00083
Troglosiro,-22.3875,166.92944
Troglosiro,-21.58333,165.8
Troglosiro,-21.75,166.15
Troglosiro,-22.1,166.66667
Troglosiro,-21.6,165.8
Troglosiro,-22.05,166.46667
Troglosiro,-20.95,164.91472
Troglosiro,-22.19514,166.50164
Troglosiro,-22.34972,166.97083
Troglosiro,-22.28333,166.89611
Troglosiro,-21.58083,165.84333
Troglosiro,-22.38639,166.9175
Troglosiro,-22.1775,166.50889
Troglosiro,-22.19583,166.49861
Troglosiro,-21.5925,165.80528
Troglosiro,-22.26489,166.588126
Troglosiro,-22.257297,166.599851
Troglosiro,-20.916468,165.061758
Troglosiro,-21.617057,165.884023
Troglosiro,-22.27977,166.89454
Troglosiro,-22.32306,166.91528
Troglosiro,-21.61696,165.88393
Troglosiro,-22.325,166.925
Troglosiro,-22.28333,166.9
Troglosiro,-22.28333,166.88333
Troglosiro,-22.29167,166.89167
Troglosiro,-20.91674,165.06189
Troglosiro,-22.28333,166.83333
Troglosiro,-22.27961,166.89456
Troglosiro,-22.25,166.81667
Troglosiro,-22.32292,166.91506
Troglosiro,-22.32389,166.91444
Troglosiro,-22.24714,166.82792
Troglosiro,-22.31667,166.91667
Troglosiro,-21.62083,165.87778
Troglosiro,-22.27976,166.894463
