species,lat,lon
Troglosiro brevifossa,-22.3875,166.92944
Troglosiro dogny,-21.61696,165.88393
Troglosiro dogny,-21.62083,165.87778
Troglosiro juberthiei,-22.05,166.46667
Troglosiro longifossa,-22.34972,166.97083
Troglosiro monteithi,-21.58333,165.8
Troglosiro monteithi,-21.61,165.81028
Troglosiro monteithi,-21.5925,165.80528
Troglosiro ninqua,-21.75,166.15
Troglosiro pin,-22.24714,166.82792
Troglosiro pin,-22.28333,166.83333
Troglosiro pin,-22.25,166.81667
Troglosiro platnicki,-22.069279,166.606412
Troglosiro pseudojuberthiei,-22.27961,166.89456
Troglosiro pseudojuberthiei,-22.32292,166.91506
Troglosiro pseudojuberthiei,-22.28333,166.9
Troglosiro pseudojuberthiei,-22.28333,166.88333
Troglosiro pseudojuberthiei,-22.29167,166.89167
Troglosiro pseudojuberthiei,-22.325,166.925
Troglosiro pseudojuberthiei,-22.32306,166.91528
Troglosiro pseudojuberthiei,-22.31667,166.91667
Troglosiro pseudojuberthiei,-22.32389,166.91444
Troglosiro pseudojuberthiei,-22.27977,166.89454
Troglosiro pseudojuberthiei,-22.28333,166.89611
Troglosiro raveni,-21.41667,165.46667
Troglosiro sharmai,-20.91674,165.06189
Troglosiro sp.,-22.1,166.66667
Troglosiro sp.,-20.95,164.914722
Troglosiro sp.,-22.33333,166.91667
Troglosiro sp.,-22.383333,166.916667
Troglosiro sp.,-21.57944,165.84278
Troglosiro sp.,-21.580833,165.843333
Troglosiro sp.,-22.195833,166.498611
Troglosiro sp.,-20.95367,165.28783
Troglosiro sp.,-21.7525,166.00083
Troglosiro sp.,-22.16806,166.89667
Troglosiro sp.,-22.15,166.68333
Troglosiro urbanus,-22.19514,166.50164
Troglosiro urbanus,-22.19583,166.49861
Troglosiro wilsoni,-22.17697,166.51064
GBIF,-21.18333,165.31667
GBIF,-22.17803,166.51133
GBIF,-20.79889,165.23056
GBIF,-22.06667,166.35
GBIF,-21.6,165.8
GBIF,-20.95,164.91472
GBIF,-21.58083,165.84333
GBIF,-22.38639,166.9175
GBIF,-22.1775,166.50889
GBIF,-22.26489,166.588126
GBIF,-22.257297,166.599851
GBIF,-20.916468,165.061758
GBIF,-21.617057,165.884023
GBIF,-22.27976,166.894463
