Accession no.,Original species identification,Collection date,Latitude,Longitude
MCZ-134775,Troglosiro brevifossa,12/21/04,-22.3875,166.92944
MCZ-151570,Troglosiro dogny,11/13/18,-21.61696,165.88393
MCZ-51947,Troglosiro dogny,11/16/02,-21.62083,165.87778
MCZ-134763,Troglosiro juberthiei,12/1/00,-22.05,166.46667
MCZ-134767,Troglosiro juberthiei,10/31/01,-22.05,166.46667
MCZ-65204,Troglosiro longifossa,11/21/01,-22.34972,166.97083
MCZ-134769,Troglosiro monteithi,11/11/01,-21.58333,165.8
MCZ-134773,Troglosiro monteithi,5/3/05,-21.61,165.81028
MCZ-51948,Troglosiro monteithi,11/14/02,-21.5925,165.80528
MCZ-134768,Troglosiro ninqua,11/12/01,-21.75,166.15
MCZ-133854,Troglosiro pin,4/13/07,-22.24714,166.82792
MCZ-133873,Troglosiro pin,4/20/05,-22.28333,166.83333
MCZ-133874,Troglosiro pin,12/21/04,-22.25,166.81667
MCZ-133875,Troglosiro pin,11/26/04,-22.25,166.81667
MCZ-133876,Troglosiro pin,11/26/04,-22.25,166.81667
"""QM"" (Queensland Museum)*",Troglosiro platnicki,5/21/87,-22.069279,166.606412
"""QM"" (Queensland Museum)*",Troglosiro platnicki,5/21/87,-22.069279,166.606412
MCZ-133855,Troglosiro pseudojuberthiei,4/17/07,-22.27961,166.89456
MCZ-133856,Troglosiro pseudojuberthiei,4/17/07,-22.27961,166.89456
MCZ-133857,Troglosiro pseudojuberthiei,4/17/07,-22.32292,166.91506
MCZ-133859,Troglosiro pseudojuberthiei,4/20/05,-22.28333,166.9
MCZ-133860,Troglosiro pseudojuberthiei,11/21/01,-22.28333,166.9
MCZ-133861,Troglosiro pseudojuberthiei,11/22/04,-22.28333,166.88333
MCZ-133862,Troglosiro pseudojuberthiei,11/22/04,-22.28333,166.88333
MCZ-133863,Troglosiro pseudojuberthiei,11/22/04,-22.28333,166.88333
MCZ-133864,Troglosiro pseudojuberthiei,11/22/04,-22.29167,166.89167
MCZ-133865,Troglosiro pseudojuberthiei,12/22/04,-22.28333,166.88333
MCZ-133866,Troglosiro pseudojuberthiei,1/29/02,-22.28333,166.9
MCZ-133867,Troglosiro pseudojuberthiei,12/1/04,-22.325,166.925
MCZ-133868,Troglosiro pseudojuberthiei,12/2/04,-22.32306,166.91528
MCZ-133869,Troglosiro pseudojuberthiei,12/2/04,-22.32306,166.91528
MCZ-133870,Troglosiro pseudojuberthiei,4/21/05,-22.32306,166.91528
MCZ-133871,Troglosiro pseudojuberthiei,12/22/04,-22.31667,166.91667
MCZ-133872,Troglosiro pseudojuberthiei,12/22/04,-22.32389,166.91444
MCZ-151618,Troglosiro pseudojuberthiei,11/18/18,-22.27977,166.89454
MCZ-51946,Troglosiro pseudojuberthiei,11/17/02,-22.28333,166.89611
MCZ-134777,Troglosiro raveni,2/2/04,-21.41667,165.46667
MCZ-151558,Troglosiro sharmai,11/11/18,-20.91674,165.06189
MCZ-134766,Troglosiro sp.,11/17/01,-22.1,166.66667
MCZ-134770,Troglosiro sp.,11/27/02,-20.95,164.914722
MCZ-134771,Troglosiro sp.,11/22/02,-22.33333,166.91667
MCZ-134776,Troglosiro sp.,11/28/04,-20.383333,166.916667
MCZ-134778,Troglosiro sp.,12/20/04,-21.57944,165.84278
MCZ-134779,Troglosiro sp.,12/19/04,-21.580833,165.843333
MCZ-134780,Troglosiro sp.,1/4/04,-22.195833,166.498611
MCZ-134781,Troglosiro sp.,12/15/04,-20.95367,165.28783
MCZ-134782,Troglosiro sp.,1/28/04,-21.7525,166.00083
MCZ-134784,Troglosiro sp.,4/24/05,-22.16806,166.89667
MCZ-134786,Troglosiro sp.,4/23/05,-22.15,166.68333
MCZ-134789,Troglosiro urbanus,4/25/07,-22.19514,166.50164
MCZ-51943,Troglosiro urbanus,4/11/02,-22.19583,166.49861
MCZ-72577,Troglosiro urbanus,1/4/04,-22.19583,166.49861
no #,Troglosiro wilsoni,,,
MCZ-134787,Troglosiro wilsoni,4/16/07,-22.17697,166.51064
